config_id,window_id,alpha1_2d,alpha2_2d,xa_2d,xb_2d,delta_x_2d,total_strength_2d,k_center,window_width,wavelength,beta1_3d,beta2_3d,beta3_3d,x1_3d,x2_3d,x3_3d,total_strength_3d,spacing_12,spacing_23,total_extent_3d,mse_uniform
3.5,0,3,-3,0.0,5.97,5.97,6,0.526229925224421,0.26311496261221000,11.940000000000000,5.993285142245500,0.5010544798331440,3.0526158805124300,0.0,0.6299804299368650,5.629922215329910,9.546955502591080,0.6299804299368650,4.999941785393040,5.629922215329910,1.60555670360576E-08
3.5,1,3,-3,0.0,5.97,5.97,6,1.052459850448840,0.26311496261221000,5.970000000000000,0.5000218303401650,2.5960232459555400,4.296440267069740,0.0,2.1348816010155100,5.419497035996890,7.392485343365450,2.1348816010155100,3.2846154349813800,5.419497035996890,9.37441317621029E-07
3.5,2,3,-3,0.0,5.97,5.97,6,1.578689775673260,0.26311496261221000,3.98,0.500001365156578,2.5753400393659,3.6262123563613900,0.0,3.5144987951826300,7.801252227805820,6.70155376088387,3.5144987951826300,4.286753432623190,7.801252227805820,2.80385920421269E-07
3.5,3,3,-3,0.0,5.97,5.97,6,2.104919700897680,0.26311496261221100,2.9850000000000000,3.38970194350765,2.234212042101200,0.7099036363858510,0.0,4.7914116272419500,7.48473917350002,6.333817621994700,4.7914116272419500,2.6933275462580700,7.48473917350002,5.10864336371822E-08
3.5,4,3,-3,0.0,5.97,5.97,6,2.631149626122110,0.26311496261221000,2.388,5.999999644380030,2.211589304858610,2.0674237393610700,0.0,1.4365456622773300,4.7679851866038900,10.27901268859970,1.4365456622773300,3.3314395243265500,4.7679851866038900,5.21585057416819E-05
4.1,0,4,-4,0.0,1.65,1.65,8,1.9039955476301800,0.9519977738150890,3.3,3.808695175906020,3.182634463695150,0.5000005405023530,0.0,1.924023099515640,3.002549474572260,7.491330180103520,1.924023099515640,1.0785263750566200,3.002549474572260,1.41998373183982E-05
4.2,0,4,-4,0.0,2.65,2.65,8,1.1855066617320000,0.5927533308659990,5.3,4.00664663698505,4.977994835766560,0.5012640574927170,0.0,2.8594568505931200,3.1603482105287700,9.485905530244330,2.8594568505931200,0.300891359935648,3.1603482105287700,5.59958075339839E-10
4.2,1,4,-4,0.0,2.65,2.65,8,2.3710133234639900,0.5927533308659990,2.65,5.644345268579440,4.546440242794690,0.5000000032680710,0.0,1.5117592209290300,3.8398900955733400,10.690785514642200,1.5117592209290300,2.3281308746443100,3.8398900955733400,7.00053801509834E-06
4.3,0,4,-4,0.0,3.65,3.65,8,0.8607103160519980,0.4303551580259990,7.3,3.9354090555748700,2.4342799777628400,2.612406930818990,0.0,4.099672168570620,4.783180373384240,8.982095964156700,4.099672168570620,0.6835082048136220,4.783180373384240,6.04449227271577E-08
4.3,1,4,-4,0.0,3.65,3.65,8,1.7214206321040000,0.4303551580259990,3.65,3.927668329770190,2.951617765398580,0.5000126972275460,0.0,3.9306815320732300,5.2216057765966300,7.379298792396310,3.9306815320732300,1.2909242445234000,5.2216057765966300,6.31909101325536E-07
4.3,2,4,-4,0.0,3.65,3.65,8,2.5821309481559900,0.4241121049350020,2.433333333333330,0.5000008382171780,4.852703371818610,4.023959242905280,0.0,0.30000018978196500,4.150804977605190,9.376663452941080,0.30000018978196500,3.8508047878232200,4.150804977605190,1.39542650126912E-07
4.4,0,4,-4,0.0,4.7,4.7,8,0.6684239688488920,0.3342119844244460,9.4,3.9952562912452300,5.905465369594300,0.6995734419463200,0.0,4.894743490681480,5.212465982283520,10.600295102785800,4.894743490681480,0.3177224916020340,5.212465982283520,6.79140483780922E-11
4.4,1,4,-4,0.0,4.7,4.7,8,1.3368479376977800,0.334211984424446,4.7,5.736282355991370,3.8401856015373600,0.5000169153981830,0.0,2.561983028579240,4.269896569050540,10.076484872926900,2.561983028579240,1.707913540471300,4.269896569050540,6.71407836382502E-07
4.4,2,4,-4,0.0,4.7,4.7,8,2.0052719065466800,0.3342119844244460,3.1333333333333300,0.5227876792752370,3.6706225710209200,4.877308919607780,0.0,2.7741347241639400,6.130610988997930,9.070719169903940,2.7741347241639400,3.3564762648339900,6.130610988997930,5.58515500858148E-08
4.4,3,4,-4,0.0,4.7,4.7,8,2.6736958753955700,0.3302580545144390,2.35,3.392797563061830,0.5000001608497390,4.094506474410020,0.0,0.9741572746247460,4.864767123005260,7.987304198321590,0.9741572746247460,3.8906098483805100,4.864767123005260,1.71160762254743E-06
4.5,0,4,-4,0.0,5.95,5.95,8,0.5279987653092090,0.26399938265460400,11.900000000000000,7.984259518867240,0.5293872070148010,4.08341521242661,0.0,0.5784906019997920,5.57844174514252,12.59706193830870,0.5784906019997920,4.999951143142730,5.57844174514252,1.94030761830668E-09
4.5,1,4,-4,0.0,5.95,5.95,8,1.0559975306184200,0.2639993826546050,5.950000000000000,0.5000071698949190,3.549578568038890,5.706632517016000,0.0,2.0151371180917900,5.216270237463280,9.756218254949810,2.0151371180917900,3.201133119371490,5.216270237463280,1.35960152213533E-07
4.5,2,4,-4,0.0,5.95,5.95,8,1.5839962959276300,0.26399938265460500,3.966666666666670,7.152166192350950,4.816928060171850,0.5591366248794230,0.0,2.1522233487110600,3.6452925367914900,12.528230877402200,2.1522233487110600,1.4930691880804300,3.6452925367914900,3.20640644833964E-06
4.5,3,4,-4,0.0,5.95,5.95,8,2.1119950612368400,0.26399938265460500,2.9750000000000000,4.045094959777120,0.5000001895399910,4.862256593060140,0.0,1.2972930806936200,4.6086358547528600,9.407351742377250,1.2972930806936200,3.311342774059240,4.6086358547528600,9.44858847718228E-06
4.5,4,4,-4,0.0,5.95,5.95,8,2.6399938265460400,0.26399938265460500,2.38,4.871884791402190,0.500000071397719,3.7275264612927500,0.0,3.844499460238600,4.936174304445710,9.099411324092660,3.844499460238600,1.0916748442071100,4.936174304445710,2.40719297410572E-05
